iter	RMSE
0	0.922661781
1	0.8502438164
2	0.7836285336
3	0.7228459118
4	0.6672218528
5	0.616892168
6	0.5714968108
7	0.5299067149
8	0.4914060186
9	0.4579179602
10	0.4261808566
11	0.3964613325
12	0.3699010987
13	0.345994889
14	0.3240291992
15	0.3053951518
16	0.2874679603
17	0.2715319311
18	0.2566928425
19	0.2430014232
20	0.2312599625
21	0.2205436931
22	0.2103814552
23	0.2020688267
24	0.193635903
25	0.1867736531
26	0.1804155207
27	0.1740922543
28	0.1683467384
29	0.1638575338
30	0.1592267505
31	0.1551691426
32	0.1519058913
33	0.1487127522
34	0.145830073
35	0.1431243257
36	0.1407609834
37	0.1384237458
38	0.1361683302
39	0.1343421475
40	0.1326808467
41	0.1311011078
42	0.1297285766
43	0.127948792
44	0.1264345572
45	0.125243123
46	0.1241662631
47	0.1231073325
48	0.1214145229
49	0.1204267283
50	0.1195239702
51	0.1188169794
52	0.1180800544
53	0.1171184527
54	0.1164382034
55	0.1157625706
56	0.1148200026
57	0.1137882614
58	0.1132122435
59	0.1126880306
60	0.1122210978
61	0.1117702928
62	0.1110255378
63	0.1106574702
64	0.1101395241
65	0.1097533425
66	0.1093467335
67	0.1088196763
68	0.1084913261
69	0.1076833247
70	0.1072495788
71	0.106749994
72	0.1058617301
73	0.1054505296
74	0.1051473717
75	0.1046480597
76	0.1038912678
77	0.1035800104
78	0.103199988
79	0.1027049072
80	0.1023243129
81	0.1021048225
82	0.1017748766
83	0.1014620854
84	0.1011412583
85	0.1008600944
86	0.1005916819
87	0.1003370256
88	0.1000973636
89	0.09989998516
90	0.09964072082
91	0.0993692049
92	0.09913821905
93	0.09889672628
94	0.09865434275
95	0.09845085269
96	0.09828429399
97	0.09809762595
98	0.09787062458
99	0.09773146316
100	0.09750222929
101	0.09731321309
102	0.0969600164
103	0.09676150968
104	0.09660822634
105	0.09641196867
106	0.09622985724
107	0.0960081907
108	0.09584928692
109	0.09570370672
110	0.09556933203
111	0.09541566268
112	0.09506281968
113	0.09489934532
114	0.09470109246
115	0.09458191987
116	0.09438570022
117	0.09427461065
118	0.09408529008
119	0.09395134501
120	0.09380195979
121	0.09362119693
122	0.09349361948
123	0.09335935227
124	0.09322526601
125	0.09304058236
126	0.09287615204
127	0.09276782872
128	0.09264308361
129	0.09251752254
130	0.0923559216
131	0.09216634094
132	0.09183626892
133	0.09168973246
134	0.09150181752
135	0.09134127641
136	0.09121156841
137	0.09106433261
138	0.09096490155
