iter	Passed	Remaining
398	81339	122518
399	81558	122338
400	81762	122133
401	81958	121917
402	82164	121717
403	82364	121507
404	82686	121477
405	82870	121243
406	83049	121003
407	83278	120835
408	83563	120747
409	83848	120660
410	84154	120600
411	84441	120514
412	84757	120466
413	85080	120427
414	85360	120327
415	85713	120328
416	85938	120148
417	86304	120165
418	86718	120247
419	87021	120172
420	87212	119943
421	87464	119797
422	87698	119627
423	88009	119559
424	88229	119368
425	88497	119243
426	88726	119064
427	89087	119061
428	89539	119177
429	89779	119009
430	90013	118834
431	90334	118773
432	90591	118626
433	90799	118416
434	91043	118251
435	91306	118111
436	91578	117983
437	91787	117773
438	92077	117665
439	92258	117419
440	92508	117261
441	92790	117143
442	93090	117046
443	93359	116910
444	93556	116683
445	93813	116530
446	94039	116340
447	94261	116143
448	94664	116169
449	94943	116042
450	95135	115807
451	95329	115576
452	95541	115366
453	95833	115253
454	96115	115127
455	96334	114925
456	96720	114921
457	96986	114773
458	97298	114680
459	97670	114657
460	97992	114572
461	98306	114477
462	98485	114225
463	98682	113995
464	98927	113819
465	99131	113596
466	99351	113392
467	99642	113268
468	99896	113101
469	100092	112869
470	100283	112632
471	100481	112402
472	100658	112150
473	100935	112008
474	101111	111754
475	101293	111508
476	101483	111269
477	101680	111040
478	101835	110764
479	102031	110534
480	102270	110349
481	102603	110267
482	102785	110021
483	103093	109909
484	103260	109648
485	103436	109396
486	103704	109240
487	103907	109017
488	104087	108770
489	104261	108517
490	104417	108245
491	104693	108098
492	104936	107916
493	105127	107681
494	105326	107454
495	105490	107192
496	105677	106953
497	105856	106706
498	106095	106520
499	106270	106270
500	106509	106084
501	106745	105894
502	106928	105652
503	107164	105463
504	107318	105193
505	107557	105006
506	107804	104827
507	107995	104593
508	108161	104336
509	108361	104112
510	108570	103896
511	108783	103683
512	108965	103442
513	109165	103218
514	109339	102970
515	109659	102858
516	109874	102648
517	110139	102485
518	110416	102331
519	110706	102190
520	110951	102007
521	111225	101850
522	111381	101584
523	111743	101507
524	112028	101359
525	112248	101151
526	112497	100970
527	112724	100769
528	113006	100616
529	113287	100462
530	113461	100213
531	113678	100002
532	113869	99769
533	114120	99587
534	114419	99448
535	114743	99330
536	114989	99143
537	115203	98929
538	115709	98964
539	116226	99007
540	116544	98880
541	116793	98692
542	117077	98535
543	117285	98312
544	117492	98090
545	117750	97909
546	117998	97721
547	118259	97542
548	118523	97366
549	118764	97170
550	118978	96953
551	119167	96715
552	119363	96483
553	119626	96305
554	119868	96110
555	120071	95884
556	120317	95692
557	120524	95469
558	120744	95256
559	120935	95020
560	121123	94782
561	121276	94517
562	121491	94301
563	121659	94049
564	121813	93785
565	121967	93522
566	122163	93292
567	122315	93028
568	122461	92760
569	122641	92518
570	122797	92259
571	122944	91993
572	123107	91739
573	123305	91512
574	123577	91339
575	123746	91091
576	123944	90864
577	124255	90719
578	124514	90536
579	124720	90314
580	124887	90065
581	125050	89812
582	125228	89571
583	125412	89334
584	125606	89105
585	125777	88859
586	125995	88647
587	126180	88412
588	126381	88188
589	126519	87920
590	126664	87658
591	126883	87446
592	127063	87208
593	127250	86975
594	127423	86733
595	127660	86535
596	127852	86305
597	128020	86060
598	128164	85799
599	128311	85540
600	128503	85312
601	128718	85099
602	128895	84861
603	129088	84633
604	129285	84409
605	129467	84175
606	129639	83934
607	129840	83712
608	130008	83470
609	130221	83256
610	130405	83024
611	130636	82821
612	130786	82568
613	131024	82370
614	131246	82162
615	131425	81927
616	131689	81745
617	131863	81508
618	132061	81284
619	132243	81052
620	132676	80973
621	132900	80765
622	133230	80622
623	133460	80418
624	133647	80188
625	133884	79988
626	134100	79776
627	134331	79571
628	134530	79349
629	134754	79141
630	134972	78929
631	135132	78684
632	135379	78490
633	135545	78248
634	135798	78057
635	135973	77821
636	136170	77597
637	136358	77369
638	136535	77134
639	136753	76923
640	136909	76677
641	137076	76438
642	137443	76309
643	137710	76125
644	137896	75896
645	138074	75662
646	138252	75429
647	138436	75200
648	138627	74974
649	138809	74743
650	138998	74517
651	139231	74313
652	139646	74207
653	139865	73996
654	140118	73802
655	140314	73579
656	140583	73394
657	140763	73162
658	140970	72945
659	141283	72782
660	141550	72595
661	141784	72391
662	141927	72141
663	142157	71935
664	142326	71698
665	142549	71488
666	142785	71285
667	142982	71062
668	143199	70850
669	143377	70618
670	143542	70380
671	143736	70157
672	143972	69954
673	144177	69735
674	144351	69502
675	144542	69277
676	144732	69052
677	144918	68825
678	145165	68627
679	145398	68422
680	145610	68208
681	145824	67994
682	146112	67815
683	146333	67604
684	146493	67365
685	146676	67137
686	146897	66927
687	147110	66712
688	147326	66500
689	147577	66302
690	147787	66087
691	147995	65870
692	148198	65652
693	148453	65456
694	148650	65235
695	148842	65011
696	149090	64812
697	149312	64602
698	149533	64391
699	149713	64162
700	149917	63945
701	150094	63715
702	150255	63479
703	150590	63316
704	150730	63071
705	150998	62880
706	151180	62653
707	151360	62425
708	151637	62237
709	151814	62008
710	152048	61803
711	152263	61589
712	152528	61396
713	152795	61203
714	152958	60969
715	153171	60754
716	153377	60537
717	153746	60385
718	153920	60155
719	154158	59950
720	154330	59720
721	154503	59490
722	154748	59288
723	154965	59075
724	155221	58877
725	155428	58660
726	155805	58507
727	156074	58313
728	156352	58122
729	156546	57900
730	156716	57670
731	156875	57435
732	157015	57193
733	157204	56970
734	157416	56755
735	157588	56526
736	157754	56294
737	158028	56102
738	158161	55859
739	158381	55647
740	158555	55419
741	158705	55183
742	158878	54955
743	159066	54732
744	159229	54501
745	159480	54300
746	159626	54063
747	159844	53851
748	160015	53623
749	160218	53406
750	160397	53181
751	160576	52956
752	160770	52736
753	161009	52530
754	161244	52324
755	161453	52109
756	161620	51880
757	161870	51679
758	162075	51462
759	162211	51224
760	162386	50999
761	162576	50778
762	162774	50560
763	162977	50343
764	163158	50120
765	163414	49920
766	163649	49713
767	163870	49502
768	164144	49307
769	164335	49087
770	164475	48852
771	164650	48627
772	164855	48411
773	165004	48179
774	165170	47952
775	165358	47732
776	165568	47518
777	165772	47302
778	165961	47082
779	166163	46866
780	166358	46648
781	166543	46427
782	166758	46215
783	166949	45996
784	167215	45797
785	167431	45585
786	167597	45360
787	167783	45139
788	168019	44933
789	168241	44722
790	168484	44517
791	168788	44328
792	169066	44132
793	169323	43930
794	169505	43708
795	169714	43494
796	169889	43271
797	170039	43042
798	170199	42816
799	170388	42597
800	170550	42371
801	170728	42149
802	170925	41933
803	171119	41715
804	171289	41492
805	171534	41287
806	171772	41080
807	171977	40865
808	172179	40650
809	172362	40430
810	172600	40223
811	172753	39997
812	172970	39785
813	173114	39556
814	173346	39348
815	173510	39124
816	173723	38912
817	173878	38686
818	174081	38472
819	174289	38258
820	174495	38044
821	174640	37817
822	174799	37593
823	174962	37370
824	175131	37149
825	175322	36932
826	175542	36721
827	175727	36503
828	175894	36282
829	176110	36070
830	176350	35864
831	176560	35651
832	176723	35429
833	176920	35214
834	177055	34987
835	177273	34776
836	177516	34570
837	177716	34355
838	177918	34141
839	178148	33933
840	178406	33729
841	178632	33520
842	178840	33307
843	179083	33100
844	179267	32883
845	179443	32664
846	179610	32444
847	179794	32227
848	179933	32002
849	180135	31788
850	180338	31575
851	180468	31348
852	180691	31139
853	180879	30923
854	181060	30706
855	181242	30489
856	181479	30281
857	181679	30068
858	181877	29854
859	182051	29636
860	182194	29413
861	182352	29193
862	182536	28977
863	182751	28766
864	183152	28584
865	183475	28389
866	183849	28202
867	184140	28002
868	184372	27793
869	184645	27590
870	184816	27372
871	185009	27157
872	185173	26938
873	185393	26727
874	185558	26508
875	185756	26294
876	185952	26079
877	186182	25870
878	186464	25667
879	186734	25463
880	187047	25265
881	187317	25060
882	187811	24885
883	188080	24680
884	188348	24474
885	188776	24289
886	189195	24102
887	189437	23893
888	189709	23687
889	189900	23470
890	190132	23259
891	190425	23055
892	190666	22845
893	190908	22635
894	191134	22423
895	191368	22212
896	191586	21999
897	191969	21804
898	192185	21591
899	192458	21384
900	192701	21173
901	192942	20962
902	193237	20757
903	193531	20551
904	193722	20335
905	194003	20128
906	194222	19914
907	194435	19700
908	194698	19491
909	194932	19279
910	195185	19068
911	195403	18854
912	195663	18644
913	195984	18440
914	196216	18227
915	196450	18015
916	196711	17804
917	197000	17596
918	197193	17380
919	197378	17163
920	197560	16946
921	197841	16737
922	198063	16523
923	198355	16314
924	198571	16100
925	198887	15893
926	199190	15685
927	199395	15470
928	199728	15264
929	199922	15047
930	200185	14836
931	200373	14619
932	200624	14407
933	200837	14191
934	201069	13978
935	201274	13762
936	201488	13547
937	201670	13330
938	201889	13115
939	202072	12898
940	202267	12682
941	202479	12466
942	202699	12252
943	202967	12040
944	203216	11827
945	203611	11622
946	203838	11408
947	204075	11194
948	204220	10974
949	204421	10759
950	204598	10541
951	204784	10325
952	204938	10107
953	205094	9889
954	205268	9672
955	205466	9456
956	205666	9241
957	205909	9027
958	206056	8809
959	206241	8593
960	206453	8378
961	206610	8161
962	206768	7944
963	206963	7728
964	207169	7513
965	207391	7299
966	207605	7084
967	207764	6868
968	207895	6650
969	208094	6435
970	208295	6220
971	208470	6005
972	208605	5788
973	208786	5573
974	208998	5358
975	209184	5143
976	209353	4928
977	209527	4713
978	209714	4498
979	209931	4284
980	210068	4068
981	210304	3854
982	210480	3640
983	210659	3425
984	210807	3210
985	211028	2996
986	211172	2781
987	211347	2566
988	211548	2352
989	211700	2138
990	211866	1924
991	212036	1709
992	212329	1496
993	212585	1283
994	212811	1069
995	212972	855
996	213143	641
997	213303	427
998	213493	213
999	213686	0
